N,P,K,Temperature,Humidity,pH,Rainfall,Crop
52.43561663863075,141.7520459914923,29.65675585978937,27.418459285192924,79.58910806122165,6.911395593524835,21.5348312817108,Cotton
133.10000289738826,20.500883065684192,108.71233773314678,29.614136629266913,36.381602599352476,4.382552459074137,161.78451788115729,Acidic crops
102.47915185359672,64.15677996367225,54.16948849868006,21.574386474553386,55.407217379366685,7.28395459680393,174.6897412099919,Chickpea
83.81218778758512,10.88345452399674,76.6279433058289,36.968035009151,99.11736538342944,5.514627991788531,249.61539123721823,Rice
21.84260966194111,108.58657690737024,202.9010666768645,27.06269010057872,73.00861119677019,3.8350321075814557,160.52285477098783,Acidic crops
21.83923284706837,133.53071730788108,141.86284978506896,12.874501806630967,86.23600394659448,9.571399409322016,275.0698477640303,Chickpea
8.131705703547924,44.20522613706852,194.79613340940028,13.304372856534298,49.76947036092666,7.605538362011442,194.8700148345162,Chickpea
121.26466040849093,125.16783475187692,33.51131100662312,27.536384212941385,79.95210892726062,9.112281163973421,253.89750784928324,Chickpea
84.15610164404923,45.91055226466569,81.42789496651386,41.48630061067229,17.76353428648302,7.82675843208482,61.44271245003448,Maize
99.13016089144637,132.50782263014813,115.94636065647086,19.56148904649934,24.80890610736195,5.7846956296967225,258.06897783707376,Chickpea
2.8818292014123426,110.55466650354975,20.351612377747603,39.14698679318673,31.662535694665312,6.781203662904393,207.95750592083425,Maize
135.7873793026792,117.6869487578014,5.837488725591573,35.466935971602894,48.66688955460127,7.824779266221934,67.54180632109973,Maize
116.54196971205904,7.52091778406363,139.0868667593835,17.448654257451054,86.61118709685275,9.645614881289202,72.97324552040563,Chickpea
29.72747549495866,139.79344999036363,133.36390336028705,10.068292116236863,43.90574734236806,5.123484538378857,277.85982215619794,Chickpea
25.455495408994086,106.73393888984526,87.15776199992236,12.354469553469158,70.27011204557208,9.099853175194355,29.159091741248695,Cotton
25.676631379480735,47.66515335405867,102.92881520640653,34.22443829127567,74.94637220569783,9.414097953883324,148.83096773053586,Maize
42.59391401433528,121.11525308023857,88.08860011841792,15.768473857618572,64.4185912745532,7.790659293817322,107.37747813067365,Chickpea
73.4659004285133,44.41296777809019,9.801008968977772,21.757355125638245,44.844188278546646,9.460106415368562,205.15803606356283,Chickpea
60.472302609896204,127.18553753925791,72.07432124349249,26.30930089362423,63.638060716508036,6.046422959855159,253.70093268293667,Chickpea
40.772079627725866,20.76125465767118,40.416451079457964,34.11883907891069,43.5637081835233,9.599303526658833,120.421155604882,Maize
85.65940526113313,103.5160368445114,24.68483782027375,12.751769691743476,21.471204646197034,7.997810413862239,138.92147048448103,Chickpea
19.529140491285858,80.69778673028745,196.34408677786996,22.98218754418341,99.18474013490423,3.7688369114803963,293.2713358698433,Acidic crops
40.90025079493054,18.51482582736171,124.87194500843313,25.729044529080074,25.174099785579685,9.303986123641938,238.2071813417863,Chickpea
